equipo,puntos_2026,gf_2026,gc_2026,pj_2026,dg_2026,partidos_jugados,victorias,efectividad_historica_%,puntos_por_pj_2026
France,12,13,2,4,11,77,43,55.84,3.0
Mexico,12,8,0,4,8,64,21,32.81,3.0
Brazil,10,9,2,4,7,118,79,66.95,2.5
England,10,8,3,4,5,78,35,44.87,2.5
Argentina,9,8,1,3,7,91,50,54.95,3.0
Norway,9,10,8,4,2,12,5,41.67,2.25
United States,9,10,4,4,6,41,12,29.27,2.25
Netherlands,8,11,5,4,6,59,32,54.24,2.0
Belgium,8,9,4,4,5,55,23,41.82,2.0
Morocco,8,7,4,4,3,27,7,25.93,2.0
Germany,7,11,5,4,6,116,70,60.34,1.75
Spain,7,5,0,3,5,70,33,47.14,2.33
Colombia,7,4,1,3,3,25,11,44.0,2.33
Switzerland,7,7,3,3,4,44,16,36.36,2.33
Canada,7,9,3,4,6,10,2,20.0,1.75
Croatia,6,5,5,3,0,33,15,45.45,2.0
Ivory Coast,6,5,4,4,1,13,5,38.46,1.5
Portugal,5,6,1,3,5,38,18,47.37,1.67
Japan,5,8,5,4,3,29,8,27.59,1.25
Paraguay,5,3,5,4,-2,31,8,25.81,1.25
Egypt,5,5,3,3,2,10,1,10.0,1.67
Austria,4,6,6,3,0,32,13,40.62,1.33
Sweden,4,7,10,4,-3,55,20,36.36,1.0
Ecuador,4,2,4,4,-2,17,6,35.29,1.0
Ghana,4,2,2,3,0,18,6,33.33,1.33
Bosnia and Herzegovina,4,5,8,4,-3,7,2,28.57,1.0
Algeria,4,5,7,3,-2,16,4,25.0,1.33
South Africa,4,2,4,4,-2,13,3,23.08,1.0
Australia,4,2,2,3,0,23,5,21.74,1.33
DR Congo,4,5,5,4,0,7,1,14.29,1.0
Turkey,3,3,5,3,-2,13,6,46.15,1.0
Senegal,3,10,9,4,1,16,6,37.5,0.75
South Korea,3,2,3,3,-1,41,8,19.51,1.0
Scotland,3,1,4,3,-3,26,5,19.23,1.0
Iran,3,3,3,3,0,21,3,14.29,1.0
Cape Verde,3,2,2,3,0,3,0,0.0,1.0
Uruguay,2,3,4,3,-1,62,25,40.32,0.67
Saudi Arabia,2,1,5,3,-4,22,4,18.18,0.67
Czech Republic,1,2,6,3,-4,6,1,16.67,0.33
Qatar,1,2,10,3,-8,6,0,0.0,0.33
Curaçao,1,1,9,3,-8,3,0,0.0,0.33
New Zealand,1,4,10,3,-6,9,0,0.0,0.33
Tunisia,0,2,12,3,-10,21,3,14.29,0.0
Haiti,0,2,8,3,-6,6,0,0.0,0.0
Iraq,0,1,12,3,-11,6,0,0.0,0.0
Jordan,0,3,8,3,-5,3,0,0.0,0.0
Uzbekistan,0,2,11,3,-9,3,0,0.0,0.0
Panama,0,0,4,3,-4,6,0,0.0,0.0
